name,"profile url",points,"all predictions","predicted questions","resolved questions"
traviswfisher,/accounts/profile/100518/,21139,2534,934,538
James,/accounts/profile/100638/,19854,2355,1085,594
bzial,/accounts/profile/100535/,17087,4690,1017,472
datscilly,/accounts/profile/103777/,16679,0,0,0
jzima,/accounts/profile/103733/,14233,2778,1038,421
gjm,/accounts/profile/100626/,14071,1706,844,458
converse,/accounts/profile/100014/,12647,1311,1003,540
jimrandomh,/accounts/profile/100059/,11926,802,668,411
r,/accounts/profile/101412/,11717,2536,915,382
AngraMainyu,/accounts/profile/103634/,11702,3567,865,342
Barbarossa,/accounts/profile/103836/,11466,1507,704,340
AndrewMcKnight,/accounts/profile/100139/,11378,1517,437,318
"moons R us",/accounts/profile/100108/,11048,1373,746,485
v,/accounts/profile/100655/,10949,1246,273,230
Reprisal,/accounts/profile/103899/,10651,1556,1109,363
shahar.avin,/accounts/profile/100426/,9616,591,466,380
tragedyofthecomments,/accounts/profile/101056/,9061,1036,627,471
chris.j.cundy,/accounts/profile/101312/,8526,984,465,298
Sylvain,/accounts/profile/105951/,8166,2964,975,307
frxtz,/accounts/profile/100550/,7816,1450,619,323
PabloStafforini,/accounts/profile/101341/,7503,2814,925,244
isinlor,/accounts/profile/103304/,7222,0,0,0
gbear605,/accounts/profile/100497/,7155,763,566,379
darkives,/accounts/profile/103907/,7145,1018,668,257
robert.spiker,/accounts/profile/100487/,6980,494,365,234
"englisc aspyrgend",/accounts/profile/101006/,6935,866,664,354
Rogozjin,/accounts/profile/103689/,6926,347,239,164
holomanga,/accounts/profile/101911/,6913,1799,671,241
Jgalt,/accounts/profile/101465/,6845,5565,1187,513
aran,/accounts/profile/103764/,6803,1528,590,251
Jotto,/accounts/profile/105656/,6708,3030,609,238
pranomostro,/accounts/profile/106400/,6686,3077,1020,307
DanielG,/accounts/profile/104119/,6637,1930,504,218
lukas.baker,/accounts/profile/102991/,6602,537,432,278
DanielFilan,/accounts/profile/100559/,6559,2088,692,250
raven.kopelman,/accounts/profile/103409/,6382,973,582,263
Zweihander,/accounts/profile/107445/,6106,1456,1001,267
Bernhard,/accounts/profile/102710/,5816,1919,1295,513
muzzle,/accounts/profile/100867/,5360,461,313,193
steven0461,/accounts/profile/108792/,5336,2843,719,191
lifi,/accounts/profile/103816/,5226,387,334,202
benelson7,/accounts/profile/100067/,5097,599,358,295
EvanHarper,/accounts/profile/100345/,5040,2195,306,130
r.grannell2,/accounts/profile/103827/,4698,580,302,124
foo,/accounts/profile/103618/,4655,1405,705,271
Random5,/accounts/profile/102221/,4591,894,395,269
llamaquack1,/accounts/profile/100338/,4516,350,256,177
KrisMoore,/accounts/profile/103713/,4325,402,169,111
samlichtenstein,/accounts/profile/102756/,4148,535,183,104
Skj,/accounts/profile/100401/,4052,171,148,121
babtras,/accounts/profile/101002/,4032,530,456,280
rafiss,/accounts/profile/100442/,3979,140,131,114
Longeyes,/accounts/profile/101815/,3735,509,422,209
erik.bjareholt,/accounts/profile/103181/,3680,625,242,172
Pshyeah,/accounts/profile/106635/,3597,802,482,156
ChristianKleineidam,/accounts/profile/100558/,3590,135,115,95
jaketchm,/accounts/profile/100403/,3518,537,354,234
WhySpace,/accounts/profile/102085/,3491,245,183,109
Spirit59,/accounts/profile/100402/,3408,193,113,81
DrMatt,/accounts/profile/106982/,3401,302,230,154
jo,/accounts/profile/103418/,3347,210,154,88
Nayrolf,/accounts/profile/104149/,3307,431,384,113
pagouy,/accounts/profile/103428/,3184,296,221,90
"Cloud breaker",/accounts/profile/102423/,3144,198,194,96
jacobklagerros,/accounts/profile/103593/,3115,156,99,77
jason_k,/accounts/profile/105552/,3111,221,194,132
postmort,/accounts/profile/101930/,2998,438,272,186
edikatta,/accounts/profile/103072/,2980,461,331,189
cpt,/accounts/profile/103904/,2965,410,364,160
gdcs3,/accounts/profile/103695/,2778,379,286,170
John,/accounts/profile/101300/,2772,247,126,95
katifish,/accounts/profile/109742/,2770,2061,514,98
tom_sittler,/accounts/profile/103451/,2711,290,157,89
Mattperson,/accounts/profile/102062/,2706,140,131,81
fredrik.allenmark,/accounts/profile/105615/,2660,269,149,83
SpazCadet,/accounts/profile/102564/,2638,279,247,115
Morpheus,/accounts/profile/106992/,2638,1310,411,100
AlexRay,/accounts/profile/100739/,2607,368,299,150
minheltegenepost,/accounts/profile/100602/,2511,144,123,99
AABoyles,/accounts/profile/106142/,2412,769,451,83
baxtish,/accounts/profile/100286/,2404,89,88,69
CredibleHulk,/accounts/profile/103798/,2389,144,94,57
Btweston,/accounts/profile/100161/,2306,147,112,95
Sigbold,/accounts/profile/103771/,2256,284,196,115
ArbCho,/accounts/profile/100468/,2145,196,109,93
antony.trupe,/accounts/profile/104159/,2103,165,153,105
RyanJ.Guasp,/accounts/profile/101453/,2088,202,181,108
mgrzad,/accounts/profile/103528/,2066,180,160,88
Ockham,/accounts/profile/100147/,2058,196,125,61
davidmanheim,/accounts/profile/100480/,2012,394,196,89
Nichevo,/accounts/profile/109384/,2000,406,303,112
durbanus,/accounts/profile/102781/,1983,140,119,73
gazebo_dude,/accounts/profile/100637/,1977,78,71,57
"Uncle Jeff",/accounts/profile/103116/,1913,435,276,122
emcanterbury,/accounts/profile/102680/,1907,155,115,60
ninjaedit,/accounts/profile/109938/,1901,1763,117,47
devong.tucker,/accounts/profile/104762/,1882,145,117,55
underyx,/accounts/profile/110524/,1854,492,103,40
PhobonNika,/accounts/profile/100036/,1822,148,128,106
chuckster2.0,/accounts/profile/100577/,1819,64,58,40
